目标院校,学院,目标院校可申请专业,院校背景要求,专业背景要求,GPA要求 四分制或百分制,语言要求,实习实践（背景提升）要求,实习实践（背景提升）要求-中文,作品集要求
达特茅斯学院Dartmouth College,Department of Computer Science计算机工程学院,Master of Computer Science with a Concentration in Digital Arts计算机科学之数字艺术,无名单限制,所有学生都将成功完成四年制学院/大学的本科学位。所有学生必须完成达特茅斯的CS1和CS10课程，成绩为B+或更高。学生还应至少主修或辅修其中一个领域，我们认为是视觉计算和数字艺术的基础领域。这些包括但不限于：计算机科学、数字艺术、工程、工作室艺术/设计、计算机动画/建模、计算摄影、物理或数学、建筑,官网无要求，建议GPA接近满绩,IELTS 7.0 + TOEFL 100 + Duolinguo 135+,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,申请计算机科学硕士并专注于数字艺术的学生需要分享他们的作品集链接
哈佛大学Harvard University,Graduate School of Design设计学院,Master in Design Studies (MDes)设计研究,无名单限制,官网无要求,官网无要求，建议GPA接近满绩,Above TOEFL 104 不接受雅思,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
哈佛大学Harvard University,Graduate School of Education教育学院,"Ed.M. Learning Design, Innovation, and Technology学习设计、创新与技术",无名单限制,官网无要求,官网无要求，建议GPA接近满绩,TOEFL 104/26,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,无作品集要求
哈佛大学Harvard University,Graduate School of Design设计学院,Master in Design Engineering (MDE)设计工程,无名单限制,限设计、工程、科学、社会科学、或其它相关本科背景,官网建议GPA 3.6-3.9,TOEFL 104/26,拥有至少两年工程、设计、商业、政府或其他领域的专业经验；具有技术能力和多学科设计兴趣,拥有至少两年工程、设计、商业、政府或其他领域的专业经验；具有技术能力和多学科设计兴趣,不限项目数
哈佛大学Harvard University,Graduate School of Design设计学院,Master of Architecture I/IAP建筑学,无名单限制,March I：已完成任何领域（建筑学或其他）四年制文学学士学位或理学学士学位的个人有资格入读专业学位课程第一学期。 March I AP：完成专业四年制建筑或环境设计专业文学学士学位或理学学士学位的个人可能有资格以高级资格入学，但须经招生委员会审查。,官网无明确要求，建议GPA接近于满绩,TOEFL 92/23 建议: 104/26 不接受雅思,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
哈佛大学Harvard University,Graduate School of Design设计学院,Master of Architecture II建筑学,无名单限制,建筑硕士 II (MArch II) 课程是一个后专业学位，面向已完成五年建筑学本科专业课程或同等学历的个人。,官网无明确要求，建议GPA接近于满绩,TOEFL 92/23 建议: 104/26 不接受雅思,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
哈佛大学Harvard University,Graduate School of Design设计学院,Master of Architecture in Urban Design城市设计,无名单限制,城市设计建筑硕士 (MAUD) 课程面向已完成五年建筑学本科专业课程或同等课程的个人。强烈建议拥有两到三年的专业实践经验。您将被要求在申请的简历选项卡上提供有关您的工作经验的信息。,官网无明确要求，建议GPA接近于满绩,TOEFL 92/23 建议: 104/26 不接受雅思,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
哈佛大学Harvard University,Graduate School of Design设计学院,Master in Landscape Architecture I/IAP景观建筑,无名单限制,可跨专业申请,官网无明确要求，建议GPA接近于满绩,TOEFL 92/23 建议: 104/26 不接受雅思,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
哈佛大学Harvard University,Graduate School of Design设计学院,Master in Landscape Architecture II 景观建筑,无名单限制,可跨专业申请,官网无明确要求，建议GPA接近于满绩,TOEFL 92/23 建议: 104/26 不接受雅思,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
哈佛大学Harvard University,Graduate School of Education教育学院,Ed.M. with a concentration in Arts and Learning教育学-艺术与教育方向,无名单限制,官网无要求,官网无要求，建议GPA接近满绩,TOEFL 104/26,在简历中明确申请的方向（Arts and Learning）罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中明确申请的方向（Arts and Learning）罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,无作品集要求
