目标院校,学院,目标院校可申请专业,院校背景要求,专业背景要求,GPA要求 四分制或百分制,语言要求,实习实践（背景提升）要求,实习实践（背景提升）要求-中文,作品集要求
哈佛大学Harvard University,Graduate School of Design设计学院,Master in Design Studies (MDes)设计研究,无名单限制,官网无要求,官网无要求，建议GPA接近满绩,Above TOEFL 104 不接受雅思,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
哈佛大学Harvard University,Graduate School of Education教育学院,"Ed.M. Learning Design, Innovation, and Technology学习设计、创新与技术",无名单限制,官网无要求,官网无要求，建议GPA接近满绩,TOEFL 104/26,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,无作品集要求
哈佛大学Harvard University,Graduate School of Design设计学院,Master in Design Engineering (MDE)设计工程,无名单限制,限设计、工程、科学、社会科学、或其它相关本科背景,官网建议GPA 3.6-3.9,TOEFL 104/26,拥有至少两年工程、设计、商业、政府或其他领域的专业经验；具有技术能力和多学科设计兴趣,拥有至少两年工程、设计、商业、政府或其他领域的专业经验；具有技术能力和多学科设计兴趣,不限项目数
哈佛大学Harvard University,Graduate School of Design设计学院,Master of Architecture I/IAP建筑学,无名单限制,March I：已完成任何领域（建筑学或其他）四年制文学学士学位或理学学士学位的个人有资格入读专业学位课程第一学期。 March I AP：完成专业四年制建筑或环境设计专业文学学士学位或理学学士学位的个人可能有资格以高级资格入学，但须经招生委员会审查。,官网无明确要求，建议GPA接近于满绩,TOEFL 92/23 建议: 104/26 不接受雅思,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
哈佛大学Harvard University,Graduate School of Design设计学院,Master of Architecture II建筑学,无名单限制,建筑硕士 II (MArch II) 课程是一个后专业学位，面向已完成五年建筑学本科专业课程或同等学历的个人。,官网无明确要求，建议GPA接近于满绩,TOEFL 92/23 建议: 104/26 不接受雅思,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
哈佛大学Harvard University,Graduate School of Design设计学院,Master of Architecture in Urban Design城市设计,无名单限制,城市设计建筑硕士 (MAUD) 课程面向已完成五年建筑学本科专业课程或同等课程的个人。强烈建议拥有两到三年的专业实践经验。您将被要求在申请的简历选项卡上提供有关您的工作经验的信息。,官网无明确要求，建议GPA接近于满绩,TOEFL 92/23 建议: 104/26 不接受雅思,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
哈佛大学Harvard University,Graduate School of Design设计学院,Master in Landscape Architecture I/IAP景观建筑,无名单限制,可跨专业申请,官网无明确要求，建议GPA接近于满绩,TOEFL 92/23 建议: 104/26 不接受雅思,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
哈佛大学Harvard University,Graduate School of Design设计学院,Master in Landscape Architecture II 景观建筑,无名单限制,可跨专业申请,官网无明确要求，建议GPA接近于满绩,TOEFL 92/23 建议: 104/26 不接受雅思,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
康奈尔大学Cornell University,Department of Art艺术系,MFA in Creative Visual Arts创意视觉艺术,无名单限制,接受跨专业,官网无要求，建议GPA不低于3.8,"TOEFL 77+(S: 22, R: 20, L: 15, W: 20) IELTS 7.0+",在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
康奈尔大学Cornell University,cornell AAP Architecture ART planning建筑/艺术/规划学院,Master of Architecture (Professional)建筑学,无名单限制,持有专业建筑学学士学位 (B.Arch.) 或专业建筑学硕士学位 (M.Arch.) 的学生可以被录取为专业 MS AAD 项目的候选人。,官网无明确要求，建议GPA高于3.5,TOEFL 100 IELTS 7.0+(7.0）,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
